timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1632455888459,346,HTTP Request,200,OK,advancedThreadGroup 1-3,text,true,,2671,260,40,40,https://reqres.in/api/users?page=2,116,0,54
1632455888459,116,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-3,,true,,720,130,40,40,http://reqres.in/api/users?page=2,116,0,54
1632455888575,230,HTTP Request-1,200,OK,advancedThreadGroup 1-3,text,true,,1951,130,40,40,https://reqres.in/api/users?page=2,230,0,165
1632455888459,371,HTTP Request,200,OK,advancedThreadGroup 1-17,text,true,,2665,260,40,40,https://reqres.in/api/users?page=2,115,0,55
1632455888459,115,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-17,,true,,716,130,40,40,http://reqres.in/api/users?page=2,115,0,55
1632455888574,256,HTTP Request-1,200,OK,advancedThreadGroup 1-17,text,true,,1949,130,40,40,https://reqres.in/api/users?page=2,256,0,177
1632455888482,356,HTTP Request,200,OK,advancedThreadGroup 1-36,text,true,,2661,260,40,40,https://reqres.in/api/users?page=2,119,0,57
1632455888482,119,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-36,,true,,714,130,40,40,http://reqres.in/api/users?page=2,119,0,57
1632455888601,237,HTTP Request-1,200,OK,advancedThreadGroup 1-36,text,true,,1947,130,40,40,https://reqres.in/api/users?page=2,237,0,166
1632455888228,646,HTTP Request,200,OK,advancedThreadGroup 1-9,text,true,,2655,260,40,40,https://reqres.in/api/users?page=2,113,0,54
1632455888228,113,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-9,,true,,710,130,40,40,http://reqres.in/api/users?page=2,113,0,54
1632455888341,533,HTTP Request-1,200,OK,advancedThreadGroup 1-9,text,true,,1945,130,40,40,https://reqres.in/api/users?page=2,533,0,468
1632455888210,681,HTTP Request,200,OK,advancedThreadGroup 1-28,text,true,,2659,260,40,40,https://reqres.in/api/users?page=2,116,0,53
1632455888210,116,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-28,,true,,714,130,40,40,http://reqres.in/api/users?page=2,116,0,53
1632455888326,565,HTTP Request-1,200,OK,advancedThreadGroup 1-28,text,true,,1945,130,40,40,https://reqres.in/api/users?page=2,565,0,431
1632455888539,362,HTTP Request,200,OK,advancedThreadGroup 1-37,text,true,,2653,260,40,40,https://reqres.in/api/users?page=2,106,0,51
1632455888539,106,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-37,,true,,708,130,40,40,http://reqres.in/api/users?page=2,106,0,51
1632455888645,256,HTTP Request-1,200,OK,advancedThreadGroup 1-37,text,true,,1945,130,40,40,https://reqres.in/api/users?page=2,256,0,187
1632455888449,458,HTTP Request,200,OK,advancedThreadGroup 1-31,text,true,,2657,260,40,40,https://reqres.in/api/users?page=2,214,0,52
1632455888449,214,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-31,,true,,706,130,40,40,http://reqres.in/api/users?page=2,214,0,52
1632455888664,243,HTTP Request-1,200,OK,advancedThreadGroup 1-31,text,true,,1951,130,40,40,https://reqres.in/api/users?page=2,243,0,180
1632455888576,340,HTTP Request,200,OK,advancedThreadGroup 1-23,text,true,,2671,260,40,40,https://reqres.in/api/users?page=2,111,0,53
1632455888576,111,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-23,,true,,720,130,40,40,http://reqres.in/api/users?page=2,111,0,53
1632455888687,229,HTTP Request-1,200,OK,advancedThreadGroup 1-23,text,true,,1951,130,40,40,https://reqres.in/api/users?page=2,229,0,169
1632455888303,622,HTTP Request,200,OK,advancedThreadGroup 1-7,text,true,,2657,260,40,40,https://reqres.in/api/users?page=2,373,0,57
1632455888303,373,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-7,,true,,710,130,40,40,http://reqres.in/api/users?page=2,373,0,57
1632455888676,249,HTTP Request-1,200,OK,advancedThreadGroup 1-7,text,true,,1947,130,40,40,https://reqres.in/api/users?page=2,249,0,181
1632455888557,373,HTTP Request,200,OK,advancedThreadGroup 1-11,text,true,,2665,260,40,40,https://reqres.in/api/users?page=2,113,0,53
1632455888557,113,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-11,,true,,712,130,40,40,http://reqres.in/api/users?page=2,113,0,53
1632455888670,260,HTTP Request-1,200,OK,advancedThreadGroup 1-11,text,true,,1953,130,40,40,https://reqres.in/api/users?page=2,260,0,179
1632455887560,1378,HTTP Request,200,OK,advancedThreadGroup 1-20,text,true,,2655,260,40,40,https://reqres.in/api/users?page=2,109,0,51
1632455887560,109,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-20,,true,,710,130,40,40,http://reqres.in/api/users?page=2,109,0,51
1632455887670,1268,HTTP Request-1,200,OK,advancedThreadGroup 1-20,text,true,,1945,130,40,40,https://reqres.in/api/users?page=2,1267,0,1192
1632455888340,625,HTTP Request,200,OK,advancedThreadGroup 1-15,text,true,,2663,260,40,40,https://reqres.in/api/users?page=2,397,0,51
1632455888340,397,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-15,,true,,714,130,40,40,http://reqres.in/api/users?page=2,397,0,51
1632455888737,228,HTTP Request-1,200,OK,advancedThreadGroup 1-15,text,true,,1949,130,40,40,https://reqres.in/api/users?page=2,228,0,170
1632455888593,378,HTTP Request,200,OK,advancedThreadGroup 1-12,text,true,,2659,260,40,40,https://reqres.in/api/users?page=2,119,0,56
1632455888593,119,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-12,,true,,710,130,40,40,http://reqres.in/api/users?page=2,119,0,56
1632455888712,259,HTTP Request-1,200,OK,advancedThreadGroup 1-12,text,true,,1949,130,40,40,https://reqres.in/api/users?page=2,259,0,195
1632455888592,384,HTTP Request,200,OK,advancedThreadGroup 1-10,text,true,,2651,260,40,40,https://reqres.in/api/users?page=2,116,0,55
1632455888592,116,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-10,,true,,706,130,40,40,http://reqres.in/api/users?page=2,116,0,55
1632455888708,268,HTTP Request-1,200,OK,advancedThreadGroup 1-10,text,true,,1945,130,40,40,https://reqres.in/api/users?page=2,268,0,203
1632455888387,591,HTTP Request,200,OK,advancedThreadGroup 1-8,text,true,,2667,260,40,40,https://reqres.in/api/users?page=2,119,0,54
1632455888387,119,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-8,,true,,712,130,40,40,http://reqres.in/api/users?page=2,119,0,54
1632455888506,472,HTTP Request-1,200,OK,advancedThreadGroup 1-8,text,true,,1955,130,40,40,https://reqres.in/api/users?page=2,472,0,409
1632455888351,686,HTTP Request,200,OK,advancedThreadGroup 1-18,text,true,,2665,260,40,40,https://reqres.in/api/users?page=2,109,0,51
1632455888351,109,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-18,,true,,716,130,40,40,http://reqres.in/api/users?page=2,109,0,51
1632455888460,577,HTTP Request-1,200,OK,advancedThreadGroup 1-18,text,true,,1949,130,40,40,https://reqres.in/api/users?page=2,577,0,442
1632455888445,598,HTTP Request,200,OK,advancedThreadGroup 1-27,text,true,,2673,260,40,40,https://reqres.in/api/users?page=2,106,0,51
1632455888445,106,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-27,,true,,716,130,40,40,http://reqres.in/api/users?page=2,106,0,51
1632455888551,492,HTTP Request-1,200,OK,advancedThreadGroup 1-27,text,true,,1957,130,40,40,https://reqres.in/api/users?page=2,492,0,431
1632455888595,453,HTTP Request,200,OK,advancedThreadGroup 1-25,text,true,,2659,260,40,40,https://reqres.in/api/users?page=2,124,0,56
1632455888595,124,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-25,,true,,708,130,40,40,http://reqres.in/api/users?page=2,124,0,56
1632455888719,329,HTTP Request-1,200,OK,advancedThreadGroup 1-25,text,true,,1951,130,40,40,https://reqres.in/api/users?page=2,329,0,263
1632455888724,349,HTTP Request,200,OK,advancedThreadGroup 1-38,text,true,,2661,260,40,40,https://reqres.in/api/users?page=2,134,0,65
1632455888724,134,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-38,,true,,712,130,40,40,http://reqres.in/api/users?page=2,134,0,65
1632455888857,216,HTTP Request-1,200,OK,advancedThreadGroup 1-38,text,true,,1949,130,40,40,https://reqres.in/api/users?page=2,216,0,156
